Matrix	QuickTree Time	RapidNJ Time	njtreemaker	Speed-up QT	Speed-up RNJ	RF QT-NJTM	RF RNJ-NJTM	RF RNJ-QT
1849_FG-GAP.phy	1.785791259000689	0.4940453340004751	519.8888355759991	0.003434948275090697	0.0009502903316881363	100.0	276.0	282.0
1560_Ferritin.phy	1.0145441320000828	0.2962802370002464	312.7438647449999	0.0032440097036829344	0.0009473574717183427	76.0	156.0	154.0
89_Adeno_E3_CR1.phy	0.005282609999994747	0.004745194999486557	0.30294017599953804	0.017437799336337625	0.01566380221385292	16.0	34.0	32.0
1347_FAINT.phy	0.7225408590002189	0.30196651199912594	211.59366117100035	0.003414756637800668	0.001427105662466374	2.0	8.0	6.0
401_DDE.phy	0.03687144499963324	0.028546012999868253	4.544209711999429	0.008113940010794527	0.006281843226664853	32.0	88.0	100.0
1756_FAD_binding_3.phy	1.4991038080006547	0.49920817599922884	459.88460463499905	0.0032597390582154028	0.0010855074750663596	24.0	78.0	78.0
608_Gemini_AL2.phy	0.08733378000033554	0.05967871400025615	17.216456481999558	0.005072691938184042	0.0034663761420738615	24.0	16.0	20.0
1493_Fe-ADH.phy	0.9036984750000556	0.3046447319993604	286.5556651629995	0.0031536576828310515	0.00106312583918406	34.0	100.0	94.0
877_Glu_synthase.phy	0.2596610670007067	0.11916749499869184	54.648277980000785	0.0047514958677331584	0.002180626716953509	32.0	44.0	56.0
1689_FGGY_N.phy	1.6432278660013253	0.5618012100003398	427.04680239200025	0.0038478870624886513	0.0013155495061748384	38.0	106.0	104.0
777_Gemini_V1.phy	0.15296974400007457	0.08303589999923133	35.55697338400023	0.0043021024975344845	0.0023352915643994453	208.0	478.0	494.0
214_Arena_glycoprot.phy	0.010803970000779373	0.00988145800147322	0.8637784519996785	0.012507802175161686	0.011439806096803277	18.0	52.0	56.0
494_Astro_capsid.phy	0.043862152999281534	0.02403527200112876	8.589133376000973	0.005106702979119807	0.0027983349365939612	208.0	530.0	532.0
304_A1_Propeptide.phy	0.026241194998874562	0.012607724000190501	2.0586797750002006	0.012746613299230573	0.006124179269303441	12.0	80.0	80.0
