string number	score	relative score	folding time	absolute fold	relative fold
1	2	-2	0.04781630006618798	ennesseeeswwswnww	flfrrflffrrflrrlf
2	2	-6	0.04819370002951473	eeeeeeeeeeswwwwww	ffffffffffrrfffff
3	5	-4	0.0476691999938339	ennesseeeeswwwwww	flfrrflfffrrfffff
4	5	-4	0.048191500012762845	eeeeeeeeeswwwwwwwww	fffffffffrrffffffff
5	3	-7	0.05409240000881255	eneseeeeeswwwwwwwww	flrrlffffrrffffffff
6	4	-5	0.046081800013780594	ennesseeeeeswwwwswnw	flfrrflffffrrffflrrl
7	4	-4	0.04434109991416335	eeeeennesseeeeswwwsswnnw	ffffflfrrflfffrrfflfrrfl
8	8	-6	0.046410499955527484	eeenesennnessseeeswwswnwsswnnwwwwww	ffflrrllffrrfflffrrflrrllfrrflfffff
9	8	-15	0.047237299964763224	eeeeenesennnessseeeeeeeeeeswwwwwswnwswnwswnwwww	ffffflrrllffrrfflfffffffffrrfffflrrllrrllrrlfff
10	12	-9	0.04535789997316897	eeeeeeeeeeeeeeeeeeeeeeeeswwwwwwwwwwwwwwwwwwwwwwww	ffffffffffffffffffffffffrrfffffffffffffffffffffff
11	20	-16	0.045567499939352274	eeeneseeeeeeeneseeeeeeeeeeeeeswwwwwwwwwwwwsswnnwwwwwswnwwww	ffflrrlfffffflrrlffffffffffffrrffffffffffflfrrflfffflrrlfff
12	20	-22	0.045764600043185055	eeeeeeeeeeeeeeenesenesennesseeeswwsswnnwswnwswnwwwwwwwwwwwwwwww	ffffffffffffffflrrllrrllfrrflffrrflfrrfllrrllrrlfffffffffffffff
13	25	-28	0.045134900021366775	eeennesseeeeeeeeeeennnessseeeeeeeeeeeneseeswwwwwwwwwswnwwwwwwwwwwwssswnnnwswnwswnwww	ffflfrrflfffffffffflffrrfflfffffffffflrrlfrrfffffffflrrlfffffffffflffrrffllrrllrrlff
14	24	-24	0.04521989997010678	eeeeeeeeennesseeeeeeeeeeennesseneseneseeeneseeeeeswwswnwwwwwwwwwssssswnnnnnwwwwwwwsswnnwssswnnnwwww	ffffffffflfrrflfffffffffflfrrfllrrllrrlfflrrlffffrrflrrlfffffffflffffrrfffflfffffflfrrfllffrrfflfff
15	22	-28	0.05001460004132241	eeeneseeeneseeeeeneseeeeennnnesssseeeeeneseeeeeeeeeswwwwwwwwswnwwwwwwwwwswnwwwwwsswnnwwwwwssswnnnww	ffflrrlfflrrlfffflrrlfffflfffrrffflfffflrrlffffffffrrffffffflrrlfffffffflrrlfffflfrrflfffflffrrfflf
:					
					
					
			sdad		
